City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Punta Arenas,CL,-53.15,-70.9167,41.11,93,90,4.61,overcast clouds
81,Laguna,US,38.421,-121.4238,100.26,32,1,9.22,haze
82,Choix,MX,26.7092,-108.3219,90.07,54,9,3.94,clear sky
83,Carauari,BR,-4.8828,-66.8958,78.78,64,46,2.68,scattered clouds
84,College,US,64.8569,-147.8028,52.59,93,90,10.36,light rain
85,Bluff,NZ,-46.6,168.3333,55.8,62,98,16.44,overcast clouds
86,Mar Del Plata,AR,-38.0023,-57.5575,48.22,100,90,8.05,fog
87,Port Hedland,AU,-20.3167,118.5667,84.25,26,3,10.36,clear sky
88,Provideniya,RU,64.3833,-173.3,44.71,81,90,13.42,light rain
89,Eureka,US,40.8021,-124.1637,69.13,81,71,5.99,broken clouds
90,Coahuayana,MX,18.7333,-103.6833,83.68,88,100,4.5,overcast clouds
91,Urumqi,CN,43.801,87.6005,63.55,77,75,0.0,broken clouds
92,Kloulklubed,PW,7.0419,134.2556,86.5,74,77,6.93,broken clouds
93,Ambanja,MG,-13.6833,48.45,67.39,84,35,4.76,scattered clouds
94,Nikolskoye,RU,59.7035,30.7861,59.02,87,59,10.33,broken clouds
95,Honningsvag,NO,70.9821,25.9704,45.54,78,100,12.37,overcast clouds
96,Saint-Philippe,RE,-21.3585,55.7679,65.75,74,98,13.0,overcast clouds
97,Faanui,PF,-16.4833,-151.75,78.71,75,15,8.75,few clouds
98,Tual,ID,-5.6667,132.75,79.56,85,74,22.53,broken clouds
99,Asau,RO,46.4333,26.4,65.95,81,0,4.61,clear sky
100,Paysandu,UY,-32.3214,-58.0756,53.6,80,0,6.42,clear sky
101,Vila Velha,BR,-20.3297,-40.2925,69.75,94,75,4.61,broken clouds
102,New Norfolk,AU,-42.7826,147.0587,45.9,82,64,14.79,broken clouds
103,Nuuk,GL,64.1835,-51.7216,47.01,100,75,9.22,light snow
104,Egvekinot,RU,66.3167,-179.1667,47.3,62,95,6.49,overcast clouds
105,Mecca,SA,21.4267,39.8261,86.95,45,72,4.52,broken clouds
106,Mafinga,TZ,-7.25,35.0667,64.45,56,2,5.73,clear sky
107,Hashtrud,IR,37.4779,47.0508,63.36,47,3,4.41,clear sky
108,Tiksi,RU,71.6872,128.8694,43.95,80,3,8.84,clear sky
109,Cabo San Lucas,MX,22.8909,-109.9124,90.61,73,20,11.5,few clouds
110,Sao Filipe,CV,14.8961,-24.4956,76.59,89,100,3.27,overcast clouds
111,Nizhyn,UA,51.048,31.8869,65.23,61,4,5.5,clear sky
112,Seoul,KR,37.5683,126.9778,81.97,55,0,6.91,clear sky
113,Talara,PE,-4.5772,-81.2719,63.86,86,6,14.16,clear sky
114,Botwood,CA,49.1499,-55.3482,74.68,95,61,4.16,broken clouds
115,Illapel,CL,-31.6308,-71.1653,52.54,83,100,1.77,overcast clouds
116,Tasiilaq,GL,65.6145,-37.6368,50.16,65,82,4.29,broken clouds
117,Khanpur,PK,28.6453,70.6567,83.95,59,5,13.33,clear sky
118,La Palma,US,33.8464,-118.0467,99.95,55,1,5.01,clear sky
119,Calafell,ES,41.2,1.5683,79.75,72,4,2.86,clear sky
120,Bredasdorp,ZA,-34.5322,20.0403,54.28,93,5,3.44,clear sky
121,Herat,AF,34.5,62.0,63.36,20,0,10.31,clear sky
122,Pacific Grove,US,36.6177,-121.9166,92.61,88,40,1.99,scattered clouds
123,Chuy,UY,-33.6971,-53.4616,53.01,98,50,2.28,scattered clouds
124,East London,ZA,-33.0153,27.9116,58.28,72,0,10.36,clear sky
125,Bandarbeyla,SO,9.4942,50.8122,77.4,73,44,26.28,scattered clouds
126,Ahipara,NZ,-35.1667,173.1667,58.68,71,63,8.81,broken clouds
127,Kapoeta,SS,4.7717,33.5903,72.39,67,80,4.29,broken clouds
128,Qaracala,AZ,39.8132,48.9523,74.25,42,2,5.35,clear sky
129,Northam,GB,51.0333,-4.2167,60.66,88,8,12.59,clear sky
130,Rincon,US,32.296,-81.2354,82.26,98,75,0.0,broken clouds
131,Porto Nacional,BR,-10.7081,-48.4172,77.0,22,0,1.12,clear sky
132,Hovd,MN,48.0056,91.6419,55.96,90,100,5.95,overcast clouds
133,Naze,JP,28.3667,129.4833,85.12,78,100,10.87,overcast clouds
134,Hobart,AU,-42.8794,147.3294,46.26,75,75,1.99,broken clouds
135,Hami,CN,42.8,93.45,76.98,41,100,7.11,overcast clouds
136,Karacakoy,TR,41.4029,28.3834,76.68,66,0,6.96,clear sky
137,Kapaa,US,22.0752,-159.319,87.78,65,20,3.0,few clouds
138,Virginia Beach,US,36.8529,-75.978,79.02,83,100,10.13,overcast clouds
139,Qaanaaq,GL,77.484,-69.3632,38.07,99,100,5.79,light rain
140,Saint Anthony,US,45.0205,-93.218,79.72,48,1,5.99,clear sky
141,Grindavik,IS,63.8424,-22.4338,51.75,100,90,6.91,light intensity drizzle
142,Cidreira,BR,-30.1811,-50.2056,58.03,94,3,3.78,clear sky
143,Adrar,MR,20.5022,-10.0711,92.32,17,93,9.08,overcast clouds
144,Lorengau,PG,-2.0226,147.2712,83.23,75,94,6.64,overcast clouds
145,Cherskiy,RU,68.75,161.3,43.77,82,100,4.65,overcast clouds
146,Les Cayes,HT,18.2,-73.75,80.31,82,75,2.13,broken clouds
147,Hay River,CA,60.8156,-115.7999,57.18,94,90,12.66,moderate rain
148,Saint George,US,37.1041,-113.5841,103.62,21,1,3.0,clear sky
149,Bintulu,MY,3.1667,113.0333,79.21,89,20,0.0,few clouds
150,Senno,RU,59.5336,33.9167,53.1,97,24,8.59,few clouds
151,Puerto El Triunfo,SV,13.2833,-88.55,80.76,83,19,3.42,few clouds
152,Woodstock,CA,43.1334,-80.7497,66.07,75,47,7.16,scattered clouds
153,Fortuna,US,40.5982,-124.1573,68.86,67,75,1.01,broken clouds
154,Mpika,ZM,-11.8343,31.4529,52.97,81,0,9.06,clear sky
155,Myitkyina,MM,25.3833,97.4,75.42,100,100,0.45,overcast clouds
156,Flin Flon,CA,54.7682,-101.865,74.95,36,96,6.67,overcast clouds
157,Oktyabrskiy,RU,54.4815,53.471,61.77,42,7,2.86,clear sky
158,Calama,CL,-22.4667,-68.9333,54.09,20,0,1.14,clear sky
159,Cape Town,ZA,-33.9258,18.4232,56.12,87,0,4.61,clear sky
160,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,4.61,broken clouds
161,Gat,IL,31.61,34.7642,77.68,100,0,2.46,clear sky
162,Vanavara,RU,60.34,102.2797,60.73,71,27,4.99,scattered clouds
163,Sherghati,IN,24.5667,84.7833,80.22,81,100,2.28,overcast clouds
164,Deniliquin,AU,-35.5333,144.9667,57.0,53,86,16.93,overcast clouds
165,Lawton,US,34.6087,-98.3903,86.47,56,1,5.75,clear sky
166,Gull Lake,CA,50.1001,-108.4847,80.96,17,13,10.11,few clouds
167,Dzaoudzi,YT,-12.7887,45.2699,76.89,78,20,14.97,few clouds
168,Castro,BR,-24.7911,-50.0119,57.45,90,42,3.02,scattered clouds
